price,bedroom,hsize,lsize,location,facility
3200000000 ,3,200,190,Bululawang,11.0
2200000000 ,7,200,182,Lowokwaru,4.0
5500000000 ,28,620,383,Lowokwaru,
950000000 ,2,65,84,Malang,2.0
635000000 ,2,67,98,Ploso,2.0
1300000000 ,3,100,120,Blimbing,
330000000 ,2,40,40,Malang,
2400000000 ,10,180,104,Lowokwaru,4.0
850000000 ,2,70,90,Blimbing,
2300000000 ,3,150,218,Mandala,
425000000 ,2,36,60,Dau,3.0
1000000000 ,5,90,87,Karangbesuki,1.0
2900000000 ,4,200,210,Hatta,
2400000000 ,3,96,126,Lowokwaru,11.0
1180000000 ,4,114,97,Blimbing,4.0
3800000000 ,4,250,313,Sukun,3.0
950000000 ,4,105,87,Sukun,3.0
3500000000 ,5,250,300,Malang,2.0
435000000 ,2,48,60,Dau,9.0
3500000000 ,7,450,522,Ploso,3.0
335000000 ,2,40,90,Kedungkandang,6.0
1100000000 ,4,180,91,Malang,11.0
9000000000 ,6,400,561,Blimbing,6.0
780000000 ,2,58,81,Tunggulwulung,6.0
1350000000 ,3,120,120,Blimbing,4.0
399500000 ,2,45,60,Kedungkandang,2.0
6000000000 ,6,601,401,Lowokwaru,2.0
3000000000 ,5,200,210,Lowokwaru,6.0
1300000000 ,4,120,145,Kedungkandang,2.0
910000000 ,2,80,143,Sukun,
675000000 ,2,45,85,Tunggulwulung,6.0
2650000000 ,2,189,126,Malang,
2500000000 ,7,200,164,Malang,
2350000000 ,4,203,128,Mojolangu,2.0
10000000000 ,4,550,496,Dieng,
130000000 ,3,60,60,Lowokwaru,4.0
1100000000 ,2,100,120,Sukun,2.0
975000000 ,2,50,90,Blimbing,
9750000000 ,5,350,540,Malang,
295000000 ,2,30,66,Arjowinangun,
1600000000 ,4,120,120,Malang,
1250000000 ,10,120,106,Lowokwaru,9.0
1600000000 ,2,178,178,Malang,
900000000 ,3,103,70,Lowokwaru,4.0
7500000000 ,9,600,685,Malang,
2200000000 ,4,120,184,Malang,
579500000 ,2,45,98,Cemorokandang,
,2,85,85,Malang,12.0
650000000 ,2,70,72,Ploso,
228000000 ,2,44,52,Pakis,4.0
3450000000 ,4,200,320,I,
600000000 ,3,180,140,Malang,
950000000 ,4,175,175,Tanjungrejo,4.0
431000000 ,2,38,72,Lowokwaru,
1700000000 ,4,150,220,Lowokwaru,
425000000 ,2,54,72,Sukun,
1550000000 ,4,145,103,Lowokwaru,2.0
1750000000 ,3,89,105,Malang,
4900000000 ,5,200,300,Tidar,
1750000000 ,4,135,126,Tlogomas,5.0
1600000000 ,3,165,171,Lowokwaru,3.0
2600000000 ,6,350,233,Malang,
3500000000 ,10,350,111,Malang,2.0
1700000000 ,6,265,126,Malang,
750000000 ,2,60,182,Sukun,
3500000000 ,7,400,378,Blimbing,8.0
399000000 ,3,57,75,Kedungkandang,2.0
1250000000 ,10,120,106,Lowokwaru,9.0
2500000000 ,5,186,180,Malang,
3500000000 ,4,124,322,Malang,
1250000000 ,10,120,106,Lowokwaru,
1700000000 ,4,150,190,Malang,
2500000000 ,6,260,162,Malang,
1700000000 ,5,170,216,Malang,
750000000 ,3,100,140,Sukun,2.0
650000000 ,2,48,200,Cemorokandang,
2700000000 ,4,172,157,Malang,
1600000000 ,3,180,187,Araya,
7500000000 ,5,450,305,MALANG,
400000000 ,3,65,60,Pakis,
920000000 ,3,75,84,Lowokwaru,2.0
2500000000 ,6,288,177,Malang,
2200000000 ,5,200,315,Lowokwaru,
1650000000 ,3,80,172,Malang,
656000000 ,3,70,91,Dau,2.0
3600000000 ,5,300,262,Hatta,
2580000000 ,4,260,157,Malang,
385000000 ,2,45,70,Dau,
2400000000 ,2,245,139,Lowokwaru,3.0
2500000000 ,6,200,277,Hatta,
1100000000 ,2,100,120,Lowokwaru,1.0
3500000000 ,7,300,211,Malang,
525000000 ,2,45,92,Dau,3.0
1255000000 ,5,240,123,Lowokwaru,
2400000000 ,4,236,118,Malang,
759000000 ,2,99,88,Ploso,2.0
3200000000 ,7,446,250,Ploso,4.0
2700000000 ,3,259,123,Dieng,
468000000 ,2,45,70,Lowokwaru,
1900000000 ,6,250,365,Lowokwaru,
2250000000 ,6,200,212,Malang,
2500000000 ,3,179,160,Tidar,
450000000 ,2,80,65,Madyopuro,1.0
300000000 ,2,40,84,Kedungkandang,
3950000000 ,5,300,356,Sulfat,
2400000000 ,8,340,416,Blimbing,
10000000000 ,3,285,95,Malang,
700000000 ,3,70,71,Blimbing,
499000000 ,2,45,72,Lowokwaru,18.0
1500000000 ,4,90,121,Malang,
3900000000 ,4,250,300,Malang,
3500000000 ,5,400,300,Malang,
1650000000 ,3,51,126,Shanta,
520000000 ,2,60,105,Lowokwaru,
2750000000 ,3,240,244,Dieng,
2700000000 ,6,180,196,Malang,
1775000000 ,4,150,108,Mojolangu,
2300000000 ,3,100,126,Malang,
13000000000 ,4,700,1161,Malang,
3450000000 ,3,250,340,Araya,
514000000 ,3,54,72,Lowokwaru,
1250000000 ,4,150,153,Malang,
231000000 ,2,30,73,Tlogowaru,
2600000000 ,4,260,157,Blimbing,
700000000 ,2,60,135,Dau,
2500000000 ,3,226,165,Hatta,
595000000 ,2,150,84,Dau,2.0
950000000 ,2,57,95,Gedangan,
3550000000 ,4,200,253,Sukun,
250000000 ,2,30,73,Ploso,12.0
9000000000 ,6,350,360,Araya,
1700000000 ,5,370,370,Malang,
7500000000 ,5,600,539,Pakis,
850000000 ,2,70,90,Araya,
2500000000 ,4,200,316,Malang,
404000000 ,2,48,75,Lowokwaru,
2700000000 ,5,350,180,Lowokwaru,
3950000000 ,8,300,310,Malang,
1250000000 ,2,80,107,Malang,
1550000000 ,2,62,98,Malang,
360000000 ,2,45,85,Pakis,9.0
995000000 ,3,1000,98,Malang,
11500000000 ,4,1000,403,Malang,
11000000000 ,6,500,1000,Sukun,
1650000000 ,3,51,126,Shanta,
1800000000 ,4,150,160,Lowokwaru,
5000000000 ,4,280,266,Malang,
1650000000 ,5,171,197,Malang,
2300000000 ,4,240,218,Hatta,
750000000 ,3,100,107,Hatta,
2650000000 ,4,160,219,Dieng,
1100000000 ,3,60,60,Residence,
1675000000 ,6,270,135,Malang,
2550000000 ,6,245,380,Malang,1.0
1650000000 ,4,166,144,Malang,
1650000000 ,6,280,210,Malang,
3700000000 ,15,340,268,Lowokwaru,
1550000000 ,5,250,174,Blimbing,
2700000000 ,16,299,299,Malang,
3550000000 ,4,170,356,Blimbing,
2800000000 ,3,230,280,Balearjosari,4.0
499000000 ,2,50,60,Pandanwangi,5.0
2500000000 ,4,250,300,Lowokwaru,
950000000 ,3,70,91,Lowokwaru,
2500000000 ,5,300,239,Blimbing,
1750000000 ,4,350,180,Malang,
2700000000 ,6,250,300,Kedungkandang,
2500000000 ,7,170,170,Dieng,
1350000000 ,4,129,200,Blimbing,
1650000000 ,5,170,193,Hatta,
1150000000 ,8,120,106,Lowokwaru,11.0
2700000000 ,4,140,135,Blimbing,
2300000000 ,5,160,120,Tunggulwulung,
2500000000 ,4,174,140,Kedungkandang,
1150000000 ,8,120,77,Malang,11.0
2450000000 ,6,200,126,Malang,
1550000000 ,3,60,144,Dau,2.0
2695510000 ,3,160,179,Sukun,13.0
6250000000 ,25,550,333,Blimbing,10.0
499000000 ,3,65,60,Dau,
1695000000 ,4,170,240,Malang,
1700000000 ,5,300,260,Malang,
2450000000 ,4,240,126,Shanta,
3900000000 ,5,300,251,Lowokwaru,
2500000000 ,3,120,138,Malang,
7500000000 ,6,536,268,Malang,
750000000 ,3,80,105,Malang,
690000000 ,3,65,93,Blimbing,
800000000 ,2,316,316,Pakisaji,
575000000 ,3,140,86,Kedungkandang,
1500000000 ,6,280,314,Malang,
8000000000 ,6,500,388,Hatta,
7000000000 ,7,550,650,Malang,
3700000000 ,5,630,230,Araya,
1695000000 ,4,150,200,Araya,
8500000000 ,5,600,476,Baluran,6.0
2500000000 ,4,150,200,Malang,
2250000000 ,3,120,250,tidar,
185000000 ,2,36,72,Singosari,10.0
800000000 ,4,200,100,Malang,
2400000000 ,3,167,240,Dieng,
2450000000 ,3,300,200,Hatta,
450000000 ,2,40,75,Lowokwaru,2.0
1600000000 ,3,133,205,Malang,
8200000000 ,10,620,375,Malang,
277000765 ,2,30,65,Polowijen,
1650000000 ,4,254,247,Malang,
2250000000 ,5,220,181,Malang,
2674000000 ,3,172,200,Araya,
525000000 ,2,38,72,Lowokwaru,
1250000000 ,2,45,131,Malang,
450000000 ,2,50,60,Singosari,9.0
2500000000 ,26,354,354,Tegalgondo,
331000000 ,2,36,72,Lowokwaru,
2600000000 ,3,260,200,Blimbing,
3900000000 ,5,230,178,Jingga,
750000000 ,3,63,97,Blimbing,
1800000000 ,5,250,180,Lowokwaru,
1700000000 ,3,189,197,Blimbing,7.0
3500000000 ,6,275,240,Blimbing,
495000000 ,2,45,96,Singosari,
3300000000 ,5,600,300,Malang,10.0
1700000000 ,4,180,286,Lowokwaru,
1650000000 ,11,150,100,Lowokwaru,
550000000 ,3,80,65,Lowokwaru,
930000000 ,3,150,84,Lowokwaru,
2350000000 ,12,256,107,Blimbing,3.0
1500000000 ,3,100,165,Blimbing,
1300000000 ,3,140,172,Blimbing,
450000000 ,2,40,75,Lowokwaru,2.0
1785000000 ,5,240,291,Malang,
9000000000 ,9,620,375,Blimbing,20.0
899000000 ,3,150,80,Blimbing,
6000000000 ,5,211,342,Blimbing,1.0
800000000 ,3,50,93,Sulfat,
4000000000 ,6,250,553,Malang,
1700000000 ,3,160,160,Lowokwaru,
1650000000 ,3,95,177,Blimbing,
1200000000 ,5,130,90,Sukun,
1250000000 ,5,180,138,Malang,
1250000000 ,2,45,131,Malang,
325000000 ,2,80,80,Dau,3.0
680000000 ,2,42,105,Blimbing,
1750000000 ,4,124,180,Malang,
2500000000 ,5,360,314,Malang,
700000000 ,2,65,120,Lowokwaru,
1425000000 ,3,92,138,Malang,
